"CONTINENT","REGION","WHO_REGION","ADMIN0","ADMIN0ID","ADMIN0_FIP","ADMIN0ISO2","ADMIN0ISO3","ADMIN1","ADMIN1ID","ADMIN2","ADMIN2ID","Alt_ADMIN2","ADMIN3","ADMIN3ID","IUs_ADM","IUs_NAME","IU_ID","IU_CODE","Year","Endemicity","TargetPop","PopReq","PopTrg","PopTreat","Cov","PC","EffPC","PC_n","EffPC_n","EpiCov","EpiPC","EpiEffPC","EpiPC_n","EpiEffPC_n","MDA_scheme","JRF_submitted","Endemicity_ID"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Balama","33101",null,null,"0","ADM2","Balama","33101","MOZ0344333101","2021","High prevalence (50% and above)","SAC","55933","55933","80538","143.99000000000001","1","1","6","6","143.99000000000001","1","1","6","6","PZQ+ALB/MBD","1","6"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Balama","33101",null,null,"0","ADM2","Balama","33101","MOZ0344333101","2022","High prevalence (50% and above)","SAC","55945","55945","64439","115.18000000000001","1","1","7","7","115.18000000000001","1","1","7","7","PZQ+ALB/MBD","1","6"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Balama","33101",null,null,"0","ADM2","Balama","33101","MOZ0344333101","2013","Not reported","Total","0","0","0","0.0","0","0","0","0","0.0","0","0","0","0","Not delivered","0","999"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Balama","33101",null,null,"0","ADM2","Balama","33101","MOZ0344333101","2014","High prevalence (50% and above)","Total","63599","39573","49683","125.55","1","1","1","1","78.120000000000005","1","1","1","1","ALB+IVM","1","6"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Balama","33101",null,null,"0","ADM2","Balama","33101","MOZ0344333101","2015","Not reported","Total","0","0","0","0.0","0","0","1","1","0.0","0","0","1","1","Not delivered","0","999"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Balama","33101",null,null,"0","ADM2","Balama","33101","MOZ0344333101","2016","High prevalence (50% and above)","Total","66936","41649","37096","89.069999999999993","1","1","2","2","55.420000000000002","1","0","2","1","ALB+IVM","1","6"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Balama","33101",null,null,"0","ADM2","Balama","33101","MOZ0344333101","2017","High prevalence (50% and above)","Total","65549","40786","65840","161.43000000000001","1","1","3","3","100.44","1","1","3","2","ALB+IVM","1","6"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Balama","33101",null,null,"0","ADM2","Balama","33101","MOZ0344333101","2018","High prevalence (50% and above)","Total","62364","41088","54032","131.5","1","1","4","4","86.640000000000001","1","1","4","3","ALB+IVM","1","6"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Balama","33101",null,null,"0","ADM2","Balama","33101","MOZ0344333101","2019","High prevalence (50% and above)","Total","58482","0","0","0.0","0","0","4","4","0.0","0","0","4","3","Not delivered","1","6"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Balama","33101",null,null,"0","ADM2","Balama","33101","MOZ0344333101","2020","High prevalence (50% and above)","Total","80105","41577","74908","180.16999999999999","1","1","5","5","93.510000000000005","1","1","5","4","ALB+IVM","1","6"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Balama","33101",null,null,"0","ADM2","Balama","33101","MOZ0344333101","2021","High prevalence (50% and above)","Total","85897","55933","80538","143.99000000000001","1","1","6","6","93.760000000000005","1","1","6","5","PZQ+ALB/MBD","1","6"
